etf_listing_name,issuer,isin,ccy,ter,aum_m
JPM AC Asia Pacific ex Japan Research Enhanced Index Equity Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE00BMDV7354,USD,0.3,211.82
JPM AC Asia Pacific ex Japan Research Enhanced Index Equity Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE000P334X90,USD,0.3,211.82
JPM All Country Research Enhanced Index Equity Active UCITS ETF - CHF Hedged (acc),J.P. Morgan Asset Management,IE000DSDL3Z6,CHF,0.25,356.7
JPM All Country Research Enhanced Index Equity Active UCITS ETF - EUR (acc),J.P. Morgan Asset Management,IE000T4LTZ00,EUR,0.25,356.7
JPM All Country Research Enhanced Index Equity Active UCITS ETF - EUR Hedged (acc),J.P. Morgan Asset Management,IE0001JABD69,EUR,0.25,356.7
JPM All Country Research Enhanced Index Equity Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE000A7N3IV0,USD,0.25,356.7
JPM All Country Research Enhanced Index Equity Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE000JLILKH0,USD,0.25,356.7
JPM All Country Research Enhanced Index Equity Paris Aligned Active UCITS ETF - EUR (acc),J.P. Morgan Asset Management,IE00063SATO1,EUR,0.25,1444.75
JPM All Country Research Enhanced Index Equity Paris Aligned Active UCITS ETF - NOK (acc),J.P. Morgan Asset Management,IE000WECC636,NOK,0.25,1444.75
JPM All Country Research Enhanced Index Equity Paris Aligned Active UCITS ETF - SEK (acc),J.P. Morgan Asset Management,IE000EH3AL25,SEK,0.25,1444.75
JPM All Country Research Enhanced Index Equity Paris Aligned Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE0002VU15G5,USD,0.25,1444.75
JPM BetaBuilders EUR Govt Bond 1-3 yr UCITS ETF - EUR (acc),J.P. Morgan Asset Management,IE00BYVZV757,EUR,0.1,13.69
JPM BetaBuilders EUR Govt Bond UCITS ETF - EUR (acc),J.P. Morgan Asset Management,IE00BJK9HD13,EUR,0.1,25.6
JPM BetaBuilders UK Gilt 1-5 yr UCITS ETF - GBP (dist),J.P. Morgan Asset Management,IE00BD9MMC32,GBP,0.07,36.79
JPM BetaBuilders US Equity UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE00BJK9H753,USD,0.04,94.15
JPM BetaBuilders US Equity UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE00BJK9H860,USD,0.04,94.15
JPM BetaBuilders US Small Cap Equity UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE000JNKVS10,USD,0.14,337.02
JPM BetaBuilders US Small Cap Equity UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE0001O84583,USD,0.14,337.02
JPM BetaBuilders US Treasury Bond 0-1 yr UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE00BJK3WF00,USD,0.07,3518.75
JPM BetaBuilders US Treasury Bond 0-3 Months UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE00BMD8KM66,USD,0.07,1586.34
