ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),Date
ARK Artificial Intelligence & Robotics UCITS ETF,ARK Invest Europe,IE0003A512E4,AUM,75,319.7471,29/06/2026
ARK Genomic Revolution UCITS ETF,ARK Invest Europe,IE000O5M6XO1,AUM,75,74.1472,29/06/2026
ARK Innovation UCITS ETF,ARK Invest Europe,IE000GA3D489,AUM,75,302.9114,29/06/2026
ARK Space & Defence Innovation UCITS ETF,ARK Invest Europe,IE000AON7ET1,AUM,75,43.348,29/06/2026
RIZE Circular Economy Enablers UCITS ETF,ARK Invest Europe,IE000RMSPY39,AUM,45,2.4802,29/06/2026
RIZE Cybersecurity and Data Privacy UCITS ETF,ARK Invest Europe,IE00BJXRZJ40,AUM,45,124.2552,29/06/2026
RIZE Environmental Impact 100 UCITS ETF,ARK Invest Europe,IE00BLRPRR04,AUM,55,113.4322,29/06/2026
RIZE Global Sustainable Infrastructure UCITS ETF,ARK Invest Europe,IE000QUCVEN9,AUM,45,85.4214,29/06/2026
RIZE Sustainable Future of Food UCITS ETF,ARK Invest Europe,IE00BLRPQH31,AUM,45,63.1566,29/06/2026
RIZE USA Environmental Impact UCITS ETF,ARK Invest Europe,IE000PY7F8J9,AUM,45,8.6181,29/06/2026
