ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),Date
Goldman Sachs Access China Government Bond UCITS ETF,Goldman Sachs Asset Management,IE00BJSBC011,USD,24,51.82,03/07/2026
Goldman Sachs Access China Government Bond UCITS ETF,Goldman Sachs Asset Management,IE00BJSBCS90,USD,24,59.73,03/07/2026
Goldman Sachs Access UK Gilts 1-10 Years UCITS ETF,Goldman Sachs Asset Management,IE0003MKK4H3,GBP,7,762.16,03/07/2026
Goldman Sachs ActiveBeta Paris-Aligned Sustainable US Large Cap Equity UCITS ETF,Goldman Sachs Asset Management,IE00BJ5CNR11,USD,14,155.93,03/07/2026
Goldman Sachs ActiveBeta® Paris-Aligned Sustainable World Equity UCITS ETF,Goldman Sachs Asset Management,IE000HPBRE54,USD,20,9.27,03/07/2026
Goldman Sachs Alpha Enhanced Europe Equity Active UCITS ETF,Goldman Sachs Asset Management,IE000RITWOD4,EUR,25,505.67,03/07/2026
Goldman Sachs Alpha Enhanced Europe Equity Active UCITS ETF,Goldman Sachs Asset Management,IE000DQAQ6J3,EUR,25,0.11,03/07/2026
Goldman Sachs Alpha Enhanced Japan Equity Active UCITS ETF,Goldman Sachs Asset Management,IE0006NZSQW7,JPY,25,756.01,03/07/2026
Goldman Sachs Alpha Enhanced Japan Equity Active UCITS ETF,Goldman Sachs Asset Management,IE000ZUTO1I5,JPY,25,112452.96,03/07/2026
Goldman Sachs Alpha Enhanced US Equity Active UCITS ETF,Goldman Sachs Asset Management,IE000HYFO765,USD,20,312.97,03/07/2026
Goldman Sachs Alpha Enhanced World Equity Active UCITS ETF,Goldman Sachs Asset Management,IE000UFAX9L6,USD,25,292.79,03/07/2026
Goldman Sachs Alpha Enhanced World Equity Active UCITS ETF,Goldman Sachs Asset Management,IE000PXXRS03,USD,25,0.10,03/07/2026
Goldman Sachs Emerging Markets Green and Social Bond Active UCITS ETF,Goldman Sachs Asset Management,IE000GZD8ME7,EUR,55,26.08,03/07/2026
Goldman Sachs Emerging Markets Green and Social Bond Active UCITS ETF,Goldman Sachs Asset Management,IE000EC86C06,USD,55,0.62,03/07/2026
Goldman Sachs Emerging Markets Hard Currency Bond Active UCITS ETF,Goldman Sachs Asset Management,IE000M3UHD88,USD,45,0.52,03/07/2026
Goldman Sachs Emerging Markets Hard Currency Bond Active UCITS ETF,Goldman Sachs Asset Management,IE000UZO4IC7,EUR,45,16.88,03/07/2026
Goldman Sachs EUR Government Bond Active UCITS ETF,Goldman Sachs Asset Management,IE0000MK7GG1,EUR,15,30.25,03/07/2026
Goldman Sachs EUR High Yield Bond Active UCITS ETF,Goldman Sachs Asset Management,IE000M02BVY5,EUR,35,102.02,03/07/2026
Goldman Sachs EUR Investment Grade Corporate Bond Active UCITS ETF,Goldman Sachs Asset Management,IE0009EDBBS3,EUR,18,29.76,03/07/2026
Goldman Sachs EUR Investment Grade Corporate Bond Active UCITS ETF,Goldman Sachs Asset Management,IE000O6GI299,EUR,18,8.95,03/07/2026
Goldman Sachs Global Credit Plus Active UCITS ETF,Goldman Sachs Asset Management,IE0002G3KSC2,EUR,29,0.81,03/07/2026
Goldman Sachs Global Credit Plus Active UCITS ETF,Goldman Sachs Asset Management,IE000TZOB1X7,USD,29,18.96,03/07/2026
Goldman Sachs Global Credit Plus Active UCITS ETF,Goldman Sachs Asset Management,IE000CWXN435,EUR,29,0.64,03/07/2026
Goldman Sachs Global Credit Plus Active UCITS ETF,Goldman Sachs Asset Management,IE000FKMC6O9,GBP,29,0.46,03/07/2026
Goldman Sachs Global Government Bond Active UCITS ETF,Goldman Sachs Asset Management,IE000JQ3ELQ8,USD,20,0.67,03/07/2026
Goldman Sachs Global Government Bond Active UCITS ETF,Goldman Sachs Asset Management,IE000UU89RZ0,GBP,20,0.46,03/07/2026
Goldman Sachs Global Green Bond UCITS ETF,Goldman Sachs Asset Management,IE0004IR5U82,GBP,22,22.52,03/07/2026
Goldman Sachs Global Green Bond UCITS ETF,Goldman Sachs Asset Management,IE000REVDBO3,USD,22,4.85,03/07/2026
Goldman Sachs Global Green Bond UCITS ETF,Goldman Sachs Asset Management,IE000L0X6L81,EUR,22,49.60,03/07/2026
Goldman Sachs Global Green Bond UCITS ETF,Goldman Sachs Asset Management,IE000SYQFJV2,EUR,22,0.08,03/07/2026
Goldman Sachs Global Income Bond Opportunities Active UCITS ETF,Goldman Sachs Asset Management,IE000USQ2N65,GBP,40,0.52,03/07/2026
Goldman Sachs Global Income Bond Opportunities Active UCITS ETF,Goldman Sachs Asset Management,IE000D3E0G47,EUR,40,2.46,03/07/2026
Goldman Sachs Global Income Bond Opportunities Active UCITS ETF,Goldman Sachs Asset Management,IE000DHPZ1N9,USD,40,20.07,03/07/2026
Goldman Sachs MSCI World Private Equity Return Tracker UCITS ETF,Goldman Sachs Asset Management,IE000GNOSM10,USD,50,14.53,03/07/2026
Goldman Sachs USD Investment Grade Corporate Bond Active UCITS ETF,Goldman Sachs Asset Management,IE0004MXQ328,EUR,18,0.79,03/07/2026
Goldman Sachs USD Investment Grade Corporate Bond Active UCITS ETF,Goldman Sachs Asset Management,IE000RRCJI06,USD,18,23.79,03/07/2026
Goldman Sachs ActiveBeta® Emerging Markets Equity UCITS ETF CLASS USD (Acc.),Goldman Sachs Asset Management,IE00BJ5CMD00,USD,49.00,12.00,03/07/2026
