ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),Date
EUR Short Duration Income Active Core UCITS ETF (EUR),Janus Henderson,IE0002P9KZW1,GBP,30,38.03,26/06/2026
US Short Duration High Yield Active Core UCITS ETF (USD) Acc.,Janus Henderson,IE0007W7MZL0,USD,49,10.11,26/06/2026
USD Mortgage-Backed Securities Active Core UCITS ETF,Janus Henderson,IE0008B0OAD5,,40,33.95,29/06/2026
US Short Duration High Yield Active Core UCITS ETF (USD),Janus Henderson,IE0008C3G0Y9,GBP,54,10.11,26/06/2026
US Transformational Growth High Conviction Equity UCITS ETF (USD) Acc.,Janus Henderson,IE0009ZTL4B5,USD,49,5.54,13/01/2026
Japan High Conviction Equity UCITS ETF (JPY) Acc.,Janus Henderson,IE000CV0WWL4,JPY,49,1131.26,26/06/2026
Haitong Asia ex-Japan High Yield Corp USD Bond Screened Core UCITS ETF (USD),Janus Henderson,IE000GETKIK8,GBP,65,76.28,26/06/2026
Mexico Government Bond USD 10-30Y Core UCITS ETF,Janus Henderson,IE000J8RGOJ4,USD,20,116.47,29/06/2026
Fallen Angels Bond ESG Active Core UCITS ETF,Janus Henderson,IE000JL9SV51,USD,49,56.45,26/06/2026
GCC Sovereign USD Bond Core UCITS ETF,Janus Henderson,IE000L1I4R94,USD,45,4.01,26/06/2026
GCC Sovereign USD Bond Core UCITS ETF (USD),Janus Henderson,IE000LJG9WK1,GBP,50,4.01,26/06/2026
Fallen Angels Bond ESG Active Core UCITS ETF (USD),Janus Henderson,IE000LSFKN16,GBP,54,56.45,26/06/2026
Haitong Asia ex-Japan High Yield Corp USD Bond Screened Core UCITS ETF,Janus Henderson,IE000LZC9NM0,USD,60,76.28,26/06/2026
EUR Ultrashort IG Bond Paris-aligned Climate Core UCITS ETF (EUR),Janus Henderson,IE000P7C7930,GBP,18,16.63,26/06/2026
USD Mortgage-Backed Securities Active Core UCITS ETF,Janus Henderson,IE000RH1ZG27,USD,35,33.95,29/06/2026
Haitong Asia ex-Japan High Yield Corp USD Bond Screened Core UCITS ETF (USD),Janus Henderson,IE000XIITCN5,GBP,65,76.28,26/06/2026
Global Research-Engineered Equity Active Core UCITS ETF (USD) Acc.,Janus Henderson,IE000Y3FZEN4,USD,30,5.71,26/06/2026
USD Mortgage-Backed Securities Active Core UCITS ETF,Janus Henderson,IE000YMBL844,USD,35,33.95,29/06/2026
US Enhanced Inflation Core UCITS ETF,Janus Henderson,IE00BMDWWS85,USD,29,25.37,13/01/2026
US Enhanced Inflation Core UCITS ETF (USD),Janus Henderson,IE00BN0T9H70,GBP,34,21.87,12/03/2026
EUR AAA CLO Active Core UCITS ETF,Janus Henderson,LU2941599081,EUR,25,518.58,29/06/2026
EUR AAA CLO Active Core UCITS ETF,Janus Henderson,LU2941599248,,25,518.58,29/06/2026
EUR AAA CLO Active Core UCITS ETF,Janus Henderson,LU2941599834,,25,518.58,29/06/2026
USD AAA CLO Active Core UCITS ETF,Janus Henderson,LU2994520851,USD,25,314.43,29/06/2026
USD AAA CLO Active Core UCITS ETF,Janus Henderson,LU2994520935,USD,25,314.43,29/06/2026
USD AAA CLO Active Core UCITS ETF,Janus Henderson,LU2994521669,,25,314.43,29/06/2026
