ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
EUR Short Duration Income Active Core UCITS ETF (EUR),Janus Henderson,IE0002P9KZW1,GBP,30,38.04,EUR,30/06/2026
US Short Duration High Yield Active Core UCITS ETF (USD) Acc.,Janus Henderson,IE0007W7MZL0,USD,49,10.13,USD,30/06/2026
USD Mortgage-Backed Securities Active Core UCITS ETF,Janus Henderson,IE0008B0OAD5,GBP,40,33.81,USD,02/07/2026
US Short Duration High Yield Active Core UCITS ETF (USD),Janus Henderson,IE0008C3G0Y9,GBP,54,10.13,USD,30/06/2026
US Transformational Growth High Conviction Equity UCITS ETF (USD) Acc.,Janus Henderson,IE0009ZTL4B5,USD,49,5.54,USD,13/01/2026
Japan High Conviction Equity UCITS ETF (JPY) Acc.,Janus Henderson,IE000CV0WWL4,JPY,49,1160.34,JPY,30/06/2026
Haitong Asia ex-Japan High Yield Corp USD Bond Screened Core UCITS ETF (USD),Janus Henderson,IE000GETKIK8,GBP,65,76.29,USD,01/07/2026
Mexico Government Bond USD 10-30Y Core UCITS ETF,Janus Henderson,IE000J8RGOJ4,USD,20,116.02,USD,02/07/2026
Fallen Angels Bond ESG Active Core UCITS ETF,Janus Henderson,IE000JL9SV51,USD,49,55.77,USD,30/06/2026
GCC Sovereign USD Bond Core UCITS ETF,Janus Henderson,IE000L1I4R94,USD,45,4.01,USD,26/06/2026
GCC Sovereign USD Bond Core UCITS ETF (USD),Janus Henderson,IE000LJG9WK1,GBP,50,4.01,USD,26/06/2026
Fallen Angels Bond ESG Active Core UCITS ETF (USD),Janus Henderson,IE000LSFKN16,GBP,54,55.77,USD,30/06/2026
Haitong Asia ex-Japan High Yield Corp USD Bond Screened Core UCITS ETF,Janus Henderson,IE000LZC9NM0,USD,60,76.29,USD,01/07/2026
EUR Ultrashort IG Bond Paris-aligned Climate Core UCITS ETF (EUR),Janus Henderson,IE000P7C7930,GBP,18,12.64,EUR,30/06/2026
USD Mortgage-Backed Securities Active Core UCITS ETF,Janus Henderson,IE000RH1ZG27,USD,35,33.81,USD,02/07/2026
Haitong Asia ex-Japan High Yield Corp USD Bond Screened Core UCITS ETF (USD),Janus Henderson,IE000XIITCN5,GBP,65,76.29,USD,01/07/2026
Global Research-Engineered Equity Active Core UCITS ETF (USD) Acc.,Janus Henderson,IE000Y3FZEN4,USD,30,5.82,USD,30/06/2026
USD Mortgage-Backed Securities Active Core UCITS ETF,Janus Henderson,IE000YMBL844,USD,35,33.81,USD,02/07/2026
US Enhanced Inflation Core UCITS ETF,Janus Henderson,IE00BMDWWS85,USD,29,21.93,USD,02/07/2026
US Enhanced Inflation Core UCITS ETF (USD),Janus Henderson,IE00BN0T9H70,GBP,34,21.87,USD,12/03/2026
EUR AAA CLO Active Core UCITS ETF,Janus Henderson,LU2941599081,EUR,25,519.07,EUR,02/07/2026
EUR AAA CLO Active Core UCITS ETF,Janus Henderson,LU2941599248,USD,25,519.07,EUR,02/07/2026
EUR AAA CLO Active Core UCITS ETF,Janus Henderson,LU2941599834,GBP,25,519.07,EUR,02/07/2026
USD AAA CLO Active Core UCITS ETF,Janus Henderson,LU2994520851,USD,25,317.28,USD,02/07/2026
USD AAA CLO Active Core UCITS ETF,Janus Henderson,LU2994520935,USD,25,317.28,USD,02/07/2026
USD AAA CLO Active Core UCITS ETF,Janus Henderson,LU2994521669,GBP,25,317.28,USD,02/07/2026
