ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
CHIN KraneShares ICBCUBS S&P China 500 UCITS ETF,KraneShares,IE0001QF56M0,USD,55.00,75.59,USD,08/07/2026
KOID KraneShares Global Humanoid Robotics and Physical AI Index UCITS ETF (USD),KraneShares,IE0009ZB3ZX2,USD,69.00,88.59,USD,08/07/2026
KOID KraneShares Global Humanoid Robotics and Physical AI Index UCITS ETF (USD),KraneShares,IE000O6Z73N7,USD,69.00,88.59,USD,08/07/2026
KWEB KraneShares CSI China Internet UCITS ETF (USD),KraneShares,IE00BFXR7892,USD,75.00,670.29,USD,08/07/2026
KWEB KraneShares CSI China Internet UCITS ETF (EUR),KraneShares,IE00BFXR7900,EUR,75.00,670.29,EUR,08/07/2026
KWEB KraneShares CSI China Internet UCITS ETF (EUR Hedged),KraneShares,IE000K3YPA16,EUR,75.00,670.29,EUR,08/07/2026
KWEB KraneShares CSI China Internet UCITS ETF (GBP Hedged),KraneShares,IE000CD5SH30,GBP,75.00,670.29,GBP,08/07/2026
KWEB KraneShares CSI China Internet UCITS ETF (EUR (Borsa Italiana)),KraneShares,IE00BMW13836,EUR,75.00,670.29,EUR,08/07/2026
KSTR KraneShares ICBCUBS SSE Star Market 50 Index UCITS ETF,KraneShares,IE00BKPJY434,USD,82.00,54.79,USD,08/07/2026
KARS KraneShares Electric Vehicles & Future Mobility Screened UCITS ETF,KraneShares,IE000YUAPTQ0,USD,72.00,5.88,USD,08/07/2026
