ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
3D EM Equity UCITS ETF USD Acc,Robeco,IE0002Z12PN9,USD,30.00,635.37,USD,07/07/2026
3D EUR Enhanced Index Credits UCITS ETF EUR Acc,Robeco,IE000PUAKZP8,EUR,20.00,21.20,EUR,07/07/2026
3D European Equity UCITS ETF EUR Acc,Robeco,IE0007WLHX89,EUR,25.00,24.45,EUR,07/07/2026
3D Global Enhanced Index Credits UCITS ETF USD Acc,Robeco,IE000JJMOWY0,USD,20.00,19.89,USD,07/07/2026
3D Global Equity UCITS ETF GBP(H) Acc,Robeco,IE0001CEGCP5,GBP,25.00,1.67,GBP,07/07/2026
3D Global Equity UCITS ETF USD Acc,Robeco,IE000Q8N7WY1,USD,25.00,1134.75,USD,07/07/2026
3D Global Equity UCITS ETF USD Dis,Robeco,IE00042EX8S2,USD,25.00,73.64,USD,07/07/2026
3D US Equity UCITS ETF GBP(H) Acc,Robeco,IE000DEXCOR7,GBP,20.00,1.85,GBP,07/07/2026
3D US Equity UCITS ETF USD Acc,Robeco,IE000XERHYF0,USD,20.00,284.12,USD,07/07/2026
Climate Euro Government Bond UCITS ETF EUR Acc,Robeco,IE000D1DAPO5,EUR,12.00,318.30,EUR,07/07/2026
Dynamic Theme Machine UCITS ETF USD Acc,Robeco,IE000VG2WCW5,USD,55.00,29.22,USD,07/07/2026
Europe Dynamic High Yield UCITS ETF EUR Acc,Robeco,IE0000LTAD82,EUR,35.00,12.56,EUR,07/07/2026
Global Dynamic High Yield UCITS ETF USD Acc,Robeco,IE000LW5CCQ4,USD,35.00,10.65,USD,07/07/2026
NextGen Global Small-Cap Equity UCITS ETF USD Acc,Robeco,IE000OHXGWO8,USD,50.00,5.75,USD,07/07/2026
