ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),Date
Fidelity Global Value Research Enhanced UCITS ETF ACC-USD,Fidelity International,IE0002XFS025,USD,30.00,7.35,28/06/2026
Fidelity EUR Corp Bond Research Enhanced PAB UCITS ETF ACC-GBP (Hedged),Fidelity International,IE00048UULY2,GBP,25.00,317.38,28/06/2026
Fidelity Global Corp Bond Research Enhanced PAB UCITS ETF INC-USD (Hedged),Fidelity International,IE0005E8N9I1,USD,30.00,4.85,28/06/2026
Fidelity Global HY Corp Bond Research Enhanced PAB UCITS ETF INC-USD,Fidelity International,IE0006OIQXE9,USD,35.00,14.26,28/06/2026
Fidelity USD HY Corp Bond Research Enhanced PAB UCITS ETF INC-USD,Fidelity International,IE000ARLR807,USD,30.00,2.89,28/06/2026
Fidelity Global HY Corp Bond Research Enhanced PAB UCITS ETF INC-USD (Hedged),Fidelity International,IE000B8VAQZ8,USD,40.00,2.43,28/06/2026
Fidelity Global HY Corp Bond Research Enhanced PAB UCITS ETF ACC-GBP (Hedged),Fidelity International,IE000C17QP01,GBP,40.00,198.74,28/06/2026
Fidelity EUR HY Corp Bond Research Enhanced PAB UCITS ETF ACC-GBP (Hedged),Fidelity International,IE000I6Q83Z7,GBP,35.00,29.99,28/06/2026
Fidelity Global Government Bond Climate Aware UCITS ETF INC-USD,Fidelity International,IE000IF0HTJ9,USD,20.00,0.95,28/06/2026
Fidelity USD HY Corp Bond Research Enhanced PAB UCITS ETF ACC-GBP (Hedged),Fidelity International,IE000IKCYI88,GBP,35.00,111.80,28/06/2026
Fidelity US Fundamental Large Cap Core UCITS ETF ACC USD,Fidelity International,IE000IY9QFN9,USD,38.00,147.62,28/06/2026
Fidelity EUR Corp Bond Research Enhanced UCITS ETF Acc,Fidelity International,IE000JEXZJT1,EUR,3.00,53.47,28/06/2026
Fidelity USD Corp Bond Research Enhanced PAB UCITS ETF INC-USD,Fidelity International,IE000JJQ6248,USD,20.00,1.00,28/06/2026
