ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),Date
First Trust Alerian Disruptive Technology Real Estate UCITS ETF,First Trust,IE000C75IMX8,USD,60.00,1.08,29/06/2026
First Trust Alerian Disruptive Technology Real Estate UCITS ETF,First Trust,IE000RN036E0,USD,60.00,1.08,29/06/2026
First Trust Bloomberg Artificial Intelligence UCITS ETF,First Trust,IE000YIQZ0H6,USD,65.00,6.37,29/06/2026
First Trust Bloomberg Global Semiconductor Supply Chain UCITS ETF,First Trust,IE000KXTLDE2,USD,60.00,36.17,29/06/2026
First Trust Bloomberg Nuclear Power UCITS ETF,First Trust,IE000J5PESP7,USD,70.00,2.92,29/06/2026
First Trust Bloomberg Scarce Resources UCITS ETF,First Trust,IE000BW2B3J3,USD,65.00,1.51,29/06/2026
First Trust Capital Strength UCITS ETF,First Trust,IE00BL0L0D23,USD,60.00,9.73,29/06/2026
First Trust Cloud Computing UCITS ETF,First Trust,IE00BFD2H405,USD,60.00,435.61,29/06/2026
First Trust Dow Jones International Internet UCITS ETF,First Trust,IE00BT9PVG14,USD,65.00,8.17,29/06/2026
First Trust Dow Jones Internet UCITS ETF,First Trust,IE00BG0SSC32,USD,55.00,47.90,29/06/2026
First Trust Emerging Markets AlphaDEX® UCITS ETF,First Trust,IE00B8X9NX34,USD,80.00,16.39,29/06/2026
First Trust Europe Growth Strength UCITS ETF,First Trust,IE0009F7UB30,EUR,60.00,2.69,29/06/2026
First Trust Europe Rising Dividend Achievers UCITS ETF,First Trust,IE000CPG9HG3,EUR,50.00,1.64,29/06/2026
First Trust Eurozone AlphaDEX® UCITS ETF,First Trust,IE00B8X9NY41,EUR,65.00,128.46,29/06/2026
First Trust Eurozone AlphaDEX® UCITS ETF,First Trust,IE00BF2FL590,EUR,65.00,128.46,29/06/2026
First Trust FactorFX UCITS ETF,First Trust,IE00BD5HBQ97,USD,75.00,5.76,29/06/2026
First Trust FactorFX UCITS ETF,First Trust,IE00BD5HBR05,GBP (H),75.00,5.76,29/06/2026
First Trust Global Capital Strength ESG Leaders UCITS ETF,First Trust,IE00BKPSPT20,USD,75.00,34.65,29/06/2026
First Trust Global Equity Income UCITS ETF,First Trust,IE00BYTH6121,USD,60.00,156.54,29/06/2026
First Trust Global Equity Income UCITS ETF,First Trust,IE00BD842Y21,USD,60.00,156.54,29/06/2026
First Trust Growth Strength UCITS ETF,First Trust,IE000YZLMXT9,USD,60.00,0.59,29/06/2026
First Trust Indxx Europe Infrastructure UCITS ETF,First Trust,IE000TIZ5AP4,EUR,60.00,4.17,29/06/2026
First Trust Indxx Future Economy Metals UCITS ETF,First Trust,IE000UDFKE13,USD,65.00,6.21,29/06/2026
First Trust Indxx Global Aerospace & Defence UCITS ETF,First Trust,IE000NVDQXE1,USD,65.00,143.63,29/06/2026
First Trust Indxx Innovative Transaction & Process UCITS ETF,First Trust,IE00BF5DXP42,USD,65.00,52.17,29/06/2026
First Trust Indxx NextG UCITS ETF,First Trust,IE00BWTNM743,USD,70.00,9.90,29/06/2026
First Trust IPOX® Europe Equity Opportunities UCITS ETF,First Trust,IE00BFD26097,EUR,65.00,1.33,29/06/2026
First Trust Low Duration Global Government Bond UCITS ETF,First Trust,IE00BKS2X200,GBP (H),55.00,8.56,29/06/2026
First Trust Nasdaq® Clean Edge® Global Water UCITS ETF,First Trust,IE000Q8F0M81,USD,65.00,11.82,29/06/2026
First Trust Nasdaq® Clean Edge® Green Energy UCITS ETF,First Trust,IE00BDBRT036,USD,60.00,34.67,29/06/2026
First Trust Nasdaq® Clean Edge® Smart Grid Infrastructure UCITS ETF,First Trust,IE000J80JTL1,USD,63.00,2510.00,29/06/2026
First Trust Nasdaq® Cybersecurity UCITS ETF,First Trust,IE00BF16M727,USD,60.00,1600.00,29/06/2026
First Trust NYSE Arca Biotechnology UCITS ETF,First Trust,IE00BL0L0H60,USD,60.00,12.97,29/06/2026
First Trust RBA American Industrial Renaissance UCITS ETF,First Trust,IE000U6ABUJ7,USD,70.00,242.60,29/06/2026
First Trust Rising Dividend Achievers UCITS ETF,First Trust,IE000K5F6EL4,USD,50.00,21.49,29/06/2026
First Trust SMID Rising Dividend Achievers UCITS ETF,First Trust,IE0001R850E1,USD,60.00,363.27,29/06/2026
First Trust SMID Rising Dividend Achievers UCITS ETF,First Trust,IE000YVOQ2A3,USD,60.00,363.27,29/06/2026
First Trust United Kingdom AlphaDEX® UCITS ETF,First Trust,IE00B8X9NZ57,GBP,65.00,12.46,29/06/2026
First Trust United Kingdom AlphaDEX® UCITS ETF,First Trust,IE00BD9N0445,GBP,65.00,12.46,29/06/2026
First Trust US Equity Income UCITS ETF,First Trust,IE00BD6GCF16,USD,55.00,430.90,29/06/2026
First Trust US Equity Income UCITS ETF,First Trust,IE00BZBW4Z27,USD,55.00,430.90,29/06/2026
First Trust US Equity Income UCITS ETF,First Trust,IE00079WNSI6,GBP (H),55.00,430.90,29/06/2026
First Trust US Equity Opportunities UCITS ETF,First Trust,IE00BYTH6238,USD,65.00,14.49,29/06/2026
First Trust US Large Cap Core AlphaDEX® UCITS ETF,First Trust,IE00B8X9NW27,USD,65.00,166.69,29/06/2026
First Trust US Large Cap Core AlphaDEX® UCITS ETF,First Trust,IE00BWTNMB87,USD,65.00,166.69,29/06/2026
First Trust US Momentum UCITS ETF,First Trust,IE000CY30YV9,USD,60.00,91.61,29/06/2026
First Trust Value Line® Dividend Index UCITS ETF,First Trust,IE00BKVKW020,USD,70.00,7.21,29/06/2026
First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF - December,First Trust,IE000GAKWFA7,USD,90.00,10.96,29/06/2026
First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF - June,First Trust,IE000HFBJ0U0,USD,90.00,84.57,29/06/2026
First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF - March,First Trust,IE0006S0EBF2,USD,90.00,1.25,29/06/2026
First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF - September,First Trust,IE000FQ808R5,USD,90.00,11.05,29/06/2026
First Trust Vest S&P 500® Dividend Aristocrats Target Income UCITS ETF,First Trust,IE000SNMGYT5,USD,75.00,19.02,29/06/2026
First Trust Vest U.S. Equity Buffer UCITS ETF - April,First Trust,IE000WX2HZQ7,USD,85.00,7.71,29/06/2026
First Trust Vest U.S. Equity Buffer UCITS ETF - January,First Trust,IE000MDKBOB3,USD,85.00,4.32,29/06/2026
First Trust Vest U.S. Equity Buffer UCITS ETF - July,First Trust,IE000YJBT6I5,USD,85.00,2.84,29/06/2026
First Trust Vest U.S. Equity Buffer UCITS ETF - October,First Trust,IE0004X8KUG5,USD,85.00,2.91,29/06/2026
First Trust Vest U.S. Equity Max Buffer UCITS ETF - December,First Trust,IE0007FIJUO5,USD,85.00,1.41,29/06/2026
First Trust Vest U.S. Equity Max Buffer UCITS ETF - June,First Trust,IE000CO3P697,USD,85.00,3.80,29/06/2026
First Trust Vest U.S. Equity Max Buffer UCITS ETF - March,First Trust,IE0002PPCMH6,USD,85.00,1.33,29/06/2026
First Trust Vest U.S. Equity Max Buffer UCITS ETF - September,First Trust,IE0009DRFET8,USD,85.00,1.39,29/06/2026
First Trust Vest U.S. Equity Moderate Buffer UCITS ETF - August,First Trust,IE000TGSG3Y5,USD,85.00,18.49,29/06/2026
First Trust Vest U.S. Equity Moderate Buffer UCITS ETF - February,First Trust,IE000X8M8M80,USD,85.00,27.45,29/06/2026
First Trust Vest U.S. Equity Moderate Buffer UCITS ETF - May,First Trust,IE000P0FL8E3,USD,85.00,42.06,29/06/2026
First Trust Vest U.S. Equity Moderate Buffer UCITS ETF - November,First Trust,IE000OJ31JQ4,USD,85.00,38.64,29/06/2026
