ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),Date
Future of Defence UCITS ETF – Acc,HANetf,IE000OJ5TQP4,USD,49.00,3035.63,29/06/2026
The Royal Mint Responsibly Sourced Physical Gold ETC,HANetf,XS2115336336,USD,25.00,1440.67,29/06/2026
Bitwise Physical Bitcoin ETP,HANetf,DE000A27Z304,USD,200.00,661.58,29/06/2026
Lloyd Growth Equity UCITS ETF – Acc,HANetf,IE00068IJAK0,USD,85.00,364.63,29/06/2026
Sprott Uranium Miners UCITS ETF – Acc,HANetf,IE0005YK6564,USD,85.00,346.17,29/06/2026
Lloyd Focused Equity UCITS ETF – Acc,HANetf,IE000NYVK0R8,USD,85.00,299.34,29/06/2026
Future of European Defence Screened UCITS ETF – Acc,HANetf,IE000I7E6HL0,EUR,39.00,155.38,29/06/2026
Bitwise Ethereum Staking ETP,HANetf,DE000A3G90G9,USD,65.00,149.88,29/06/2026
Middlefield Canadian Enhanced Income UCITS ETF – Dist,HANetf,IE000P1G9TM6,,95.00,118.74,29/06/2026
Bitwise Physical XRP ETP,HANetf,DE000A3GYNB0,USD,195.00,117.76,29/06/2026
Sprott Pure Play Copper Miners UCITS ETF – Acc,HANetf,IE000IQQEL77,USD,59.00,113.72,29/06/2026
HAN-GINS Tech Megatrend Equal Weight UCITS ETF – Acc,HANetf,IE00BDDRF700,USD,59.00,113.38,29/06/2026
EMQQ Emerging Markets Internet UCITS ETF – Acc,HANetf,IE00BFYN8Y92,USD,86.00,109.45,29/06/2026
Bitwise Core Bitcoin ETP,HANetf,DE000A4AER62,USD,5.00,102.49,29/06/2026
ODDO BHF US Equity Active UCITS ETF – Acc,HANetf,IE000YR7N5U8,USD,35.00,96.74,29/06/2026
The Royal Mint Responsibly Sourced Physical Gold EUR Hedged ETC,HANetf,XS2892963286,EUR,35.00,79.15,29/06/2026
Alerian Midstream Energy Dividend UCITS ETF – Dist,HANetf,IE00BKPTXQ89,USD,49.00,74.35,29/06/2026
SparkChange Physical Carbon EUA ETC,HANetf,XS2353177293,EUR,89.00,71.37,29/06/2026
YieldMax® Big Tech Option Income UCITS ETF – Dist,HANetf,IE000MMRLY96,USD,99.00,63.73,29/06/2026
Finamex Mexico S&P/BMV International UMS Sovereign Bond 5-10yr UCITS ETF MXN Hedged – Acc,HANetf,IE000UGM8X46,USD,55.00,60.92,29/06/2026
Finamex Mexico S&P/BMV International UMS Sovereign Bond 5-10yr UCITS ETF – Acc,HANetf,IE000RI14ZD9,USD,55.00,60.92,29/06/2026
Bitwise Physical Ethereum ETP,HANetf,DE000A3GMKD7,USD,149.00,60.04,29/06/2026
Gold Miners Screened UCITS ETF – Acc,HANetf,IE00BNTVVR89,USD,60.00,58.48,29/06/2026
Sprott Junior Uranium Miners UCITS ETF – Acc,HANetf,IE00075IVKF9,USD,85.00,57.50,29/06/2026
JURY Global High Dividend UCITS ETF – Dist,HANetf,IE0002HWPU75,USD,60.00,56.34,29/06/2026
Sprott Physical Uranium ETC,HANetf,XS2937253818,USD,55.00,53.20,29/06/2026
Defiance AI & Power Infrastructure UCITS ETF – Acc,HANetf,IE000WUTBLT5,USD,69.00,45.46,29/06/2026
The Royal Mint Responsibly Sourced Physical Gold CHF Hedged ETC,HANetf,XS2892962718,,35.00,38.08,29/06/2026
