ETF Name,Issuer,ISIN,CCY,TER(bps),Partial AUM(M),Total AUM(M),AUM CCY,Date
Future of Defence UCITS ETF – Acc,HANetf,IE000OJ5TQP4,USD,49.00,,3233.89,USD,08/07/2026
The Royal Mint Responsibly Sourced Physical Gold ETC,HANetf,XS2115336336,USD,25.00,,1470.35,USD,08/07/2026
Bitwise Physical Bitcoin ETP,HANetf,DE000A27Z304,USD,200.00,,700.73,USD,08/07/2026
Lloyd Growth Equity UCITS ETF – Acc,HANetf,IE00068IJAK0,USD,85.00,,370.35,USD,08/07/2026
Sprott Uranium Miners UCITS ETF – Acc,HANetf,IE0005YK6564,USD,85.00,,333.97,USD,08/07/2026
Lloyd Focused Equity UCITS ETF – Acc,HANetf,IE000NYVK0R8,USD,85.00,,285.68,USD,08/07/2026
Bitwise Ethereum Staking ETP,HANetf,DE000A3G90G9,USD,65.00,,170.62,USD,08/07/2026
Future of European Defence Screened UCITS ETF – Acc,HANetf,IE000I7E6HL0,EUR,39.00,,167.70,EUR,08/07/2026
Bitwise Physical XRP ETP,HANetf,DE000A3GYNB0,USD,195.00,,127.26,USD,08/07/2026
Middlefield Canadian Enhanced Income UCITS ETF – Dist,HANetf,IE000P1G9TM6,CAD,95.00,,118.58,CAD,08/07/2026
EMQQ Emerging Markets Internet UCITS ETF – Acc,HANetf,IE00BFYN8Y92,USD,86.00,,117.94,USD,08/07/2026
HAN-GINS Tech Megatrend Equal Weight UCITS ETF – Acc,HANetf,IE00BDDRF700,USD,59.00,,117.41,USD,08/07/2026
Sprott Pure Play Copper Miners UCITS ETF – Acc,HANetf,IE000IQQEL77,USD,59.00,,112.45,USD,08/07/2026
Bitwise Core Bitcoin ETP,HANetf,DE000A4AER62,USD,5.00,,109.70,USD,08/07/2026
ODDO BHF US Equity Active UCITS ETF – Acc,HANetf,IE000YR7N5U8,USD,35.00,,98.75,USD,08/07/2026
The Royal Mint Responsibly Sourced Physical Gold EUR Hedged ETC,HANetf,XS2892963286,EUR,35.00,,81.07,EUR,08/07/2026
Alerian Midstream Energy Dividend UCITS ETF – Dist,HANetf,IE00BKPTXQ89,USD,49.00,,74.10,USD,08/07/2026
SparkChange Physical Carbon EUA ETC,HANetf,XS2353177293,EUR,89.00,,71.36,EUR,08/07/2026
Defiance Memory UCITS ETF – Acc,HANetf,IE000CEUZ052,USD,69.00,,69.38,USD,08/07/2026
YieldMax® Big Tech Option Income UCITS ETF – Dist,HANetf,IE000MMRLY96,USD,99.00,,69.02,USD,08/07/2026
Bitwise Physical Ethereum ETP,HANetf,DE000A3GMKD7,USD,149.00,,68.28,USD,08/07/2026
Finamex Mexico S&P/BMV International UMS Sovereign Bond 5-10yr UCITS ETF MXN Hedged – Acc,HANetf,IE000UGM8X46,USD,55.00,,60.59,USD,08/07/2026
Finamex Mexico S&P/BMV International UMS Sovereign Bond 5-10yr UCITS ETF – Acc,HANetf,IE000RI14ZD9,USD,55.00,,60.59,USD,08/07/2026
Gold Miners Screened UCITS ETF – Acc,HANetf,IE00BNTVVR89,USD,60.00,,57.90,USD,08/07/2026
JURY Global High Dividend UCITS ETF – Dist,HANetf,IE0002HWPU75,USD,60.00,,57.89,USD,08/07/2026
Sprott Junior Uranium Miners UCITS ETF – Acc,HANetf,IE00075IVKF9,USD,85.00,,55.19,USD,08/07/2026
Sprott Physical Uranium ETC,HANetf,XS2937253818,USD,55.00,,54.52,USD,08/07/2026
Defiance AI & Power Infrastructure UCITS ETF – Acc,HANetf,IE000WUTBLT5,USD,69.00,,47.00,USD,08/07/2026
Saba Capital Investment Trusts UCITS ETF – Acc,HANetf,IE0008RSSHT4,GBP,150.00,,39.48,GBP,08/07/2026
REX Tech Innovation Premium Income UCITS ETF – Dist,HANetf,IE000HF69TA9,USD,65.00,,39.05,USD,08/07/2026
The Royal Mint Responsibly Sourced Physical Gold CHF Hedged ETC,HANetf,XS2892962718,CHF,35.00,,38.80,CHF,08/07/2026
Defiance Drone UCITS ETF – Acc,HANetf,IE0003XW12I8,USD,69.00,,35.28,USD,08/07/2026
Amerant Latin American Debt UCITS ETF – Dist,HANetf,IE000Y187J49,USD,85.00,,30.86,USD,08/07/2026
2x Long Bitcoin ETP,HANetf,XS2937253651,SEK,200.00,,30.33,SEK,08/07/2026
2x Short Bitcoin ETP,HANetf,XS2948761114,SEK,200.00,,26.08,SEK,08/07/2026
2x Long Ethereum ETP,HANetf,XS2937253735,SEK,200.00,,24.35,SEK,08/07/2026
Jupiter Global Government Bond Active UCITS ETF GBP Hedged – Acc,HANetf,IE000U00VD47,USD,30.00,,22.49,USD,08/07/2026
Jupiter Global Government Bond Active UCITS ETF – Acc,HANetf,IE000GDU4WA8,USD,30.00,,22.49,USD,08/07/2026
Kotak Indo-Pacific Defence UCITS ETF – Acc,HANetf,IE000C7EUDG1,USD,59.00,,22.09,USD,08/07/2026
Saturna Al-Kawthar Global Focused Equity UCITS ETF – Acc,HANetf,IE00BMYMHS24,USD,75.00,,21.86,USD,08/07/2026
US Global Investors Travel UCITS ETF – Acc,HANetf,IE00BMFNW783,USD,69.00,,21.54,USD,08/07/2026
Goshawk Global Balanced UCITS ETF – Acc,HANetf,IE00BL643144,USD,69.00,,21.44,USD,08/07/2026
REX Crypto Equity Income & Growth UCITS ETF – Dist,HANetf,IE0008BA4TY1,USD,65.00,,20.20,USD,08/07/2026
Jupiter Origin Global Smaller Companies Active UCITS ETF – Acc,HANetf,IE000AN3AFZ1,USD,45.00,,19.55,USD,08/07/2026
Guinness Sustainable Energy UCITS ETF – Acc,HANetf,IE00BNC1F287,USD,65.00,,18.58,USD,08/07/2026
Defiance Ukraine Reconstruction UCITS ETF – Acc,HANetf,IE000R8PO127,EUR,65.00,,17.44,EUR,08/07/2026
Bitwise MSCI Digital Assets Select 20 ETP,HANetf,DE000A3G3ZL3,USD,85.00,,16.20,USD,08/07/2026
Making Europe Great Again UCITS ETF – Acc,HANetf,IE0007WMHDE3,EUR,60.00,,15.62,EUR,08/07/2026
The Royal Mint Responsibly Sourced Physical Gold GBP Hedged ETC,HANetf,XS2892961827,GBP,35.00,,15.47,GBP,08/07/2026
Harbor Health Care UCITS ETF – Acc,HANetf,IE00BJQTJ848,USD,89.00,,15.46,USD,08/07/2026
YieldMax® Semiconductor Option Income UCITS ETF – Dist,HANetf,IE000T8QD852,USD,99.00,,14.55,USD,08/07/2026
