ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
Invesco Artificial Intelligence Enablers UCITS ETF Acc,Invesco,IE000LGWDNE5,USD,35.00,37.15,USD,01/07/2026
Invesco Bloomberg Commodity Carbon Tilted UCITS ETF,Invesco,IE000CYTPBT0,USD,35.00,89.20,USD,01/07/2026
Invesco Bloomberg Commodity UCITS ETF EUR Hdg,Invesco,IE00BF4J0300,EUR,24.00,3363.76,EUR,01/07/2026
Invesco Bloomberg Commodity UCITS ETF,Invesco,IE00BD6FTQ80,USD,19.00,3845.79,USD,01/07/2026
Invesco Bloomberg Commodity ex-Agriculture UCITS ETF,Invesco,IE00BYXYX521,USD,19.00,492.58,USD,01/07/2026
Invesco BulletShares 2026 EUR Corporate Bond UCITS ETF Acc,Invesco,IE0004QWOTD5,EUR,10.00,8.58,EUR,01/07/2026
Invesco BulletShares 2026 EUR Corporate Bond UCITS ETF Dist,Invesco,IE000AYJ75E5,EUR,10.00,8.58,EUR,01/07/2026
Invesco BulletShares 2026 USD Corporate Bond UCITS ETF Acc,Invesco,IE000ZUAJ6B7,USD,10.00,23.16,USD,01/07/2026
Invesco BulletShares 2026 USD Corporate Bond UCITS ETF Dist,Invesco,IE000O36LOH8,USD,10.00,23.16,USD,01/07/2026
Invesco BulletShares 2026 USD Corporate Bond UCITS ETF GBP Hdg Acc,Invesco,IE000IR87HP7,GBP,12.00,17.45,GBP,01/07/2026
Invesco BulletShares 2026 USD Corporate Bond UCITS ETF GBP Hdg Dist,Invesco,IE0001AXQAS6,GBP,12.00,17.45,GBP,01/07/2026
Invesco BulletShares 2027 EUR Corporate Bond UCITS ETF Acc,Invesco,IE000LGHLQ71,EUR,10.00,10.23,EUR,01/07/2026
Invesco BulletShares 2027 EUR Corporate Bond UCITS ETF Dist,Invesco,IE000XOS4OJ6,EUR,10.00,10.23,EUR,01/07/2026
Invesco BulletShares 2027 USD Corporate Bond UCITS ETF Acc,Invesco,IE0001XIQ4D9,USD,10.00,15.27,USD,01/07/2026
Invesco BulletShares 2027 USD Corporate Bond UCITS ETF Dist,Invesco,IE000BMDG046,USD,10.00,15.27,USD,01/07/2026
Invesco BulletShares 2027 USD Corporate Bond UCITS ETF GBP Hdg Acc,Invesco,IE000JUB0QM2,GBP,12.00,11.50,GBP,01/07/2026
Invesco BulletShares 2027 USD Corporate Bond UCITS ETF GBP Hdg Dist,Invesco,IE00025DKLQ3,GBP,12.00,11.50,GBP,01/07/2026
Invesco BulletShares 2028 EUR Corporate Bond UCITS ETF Acc,Invesco,IE00079EUF59,EUR,10.00,10.48,EUR,01/07/2026
Invesco BulletShares 2028 EUR Corporate Bond UCITS ETF Dist,Invesco,IE000LKGEZQ6,EUR,10.00,10.48,EUR,01/07/2026
