ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),Date
L&G Russell 2000 US Small Cap Quality UCITS ETF,L&G,IE00B3CNHJ55,GBP,30,212.49,25/06/2026
L&G Russell 2000 US Small Cap Quality UCITS ETF,L&G,IE00B3CNHJ55,USD,30,212.49,25/06/2026
L&G Russell 2000 US Small Cap Quality UCITS ETF,L&G,IE00B3CNHJ55,EUR,30,212.49,25/06/2026
L&G Gold Mining UCITS ETF,L&G,IE00B3CNHG25,GBP,55,626.91,25/06/2026
L&G Gold Mining UCITS ETF,L&G,IE00B3CNHG25,USD,55,626.91,25/06/2026
L&G Gold Mining UCITS ETF,L&G,IE00B3CNHG25,EUR,55,626.91,25/06/2026
L&G Gold Mining UCITS ETF,L&G,IE00B3CNHG25,CHF,55,626.91,25/06/2026
L&G Gold Mining UCITS ETF,L&G,IE00B3CNHG25,MXN,55,626.91,25/06/2026
L&G ROBO Global Robotics and Automation UCITS ETF,L&G,IE00BMW3QX54,EUR,80,1733.57,25/06/2026
L&G ROBO Global Robotics and Automation UCITS ETF,L&G,IE00BMW3QX54,GBP,80,1733.57,25/06/2026
L&G ROBO Global Robotics and Automation UCITS ETF,L&G,IE00BMW3QX54,USD,80,1733.57,25/06/2026
L&G ROBO Global Robotics and Automation UCITS ETF,L&G,IE00BMW3QX54,CHF,80,1733.57,25/06/2026
L&G ROBO Global Robotics and Automation UCITS ETF,L&G,IE00BMW3QX54,MXN,80,1733.57,25/06/2026
L&G Cyber Security UCITS ETF,L&G,IE00BYPLS672,GBP,69,3273.28,25/06/2026
L&G Cyber Security UCITS ETF,L&G,IE00BYPLS672,USD,69,3273.28,25/06/2026
L&G Cyber Security UCITS ETF,L&G,IE00BYPLS672,EUR,69,3273.28,25/06/2026
L&G Cyber Security UCITS ETF,L&G,IE00BYPLS672,CHF,69,3273.28,25/06/2026
L&G Cyber Security UCITS ETF,L&G,IE00BYPLS672,MXN,69,3273.28,25/06/2026
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,GBP,49,922.33,25/06/2026
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,USD,49,922.33,25/06/2026
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,EUR,49,922.33,25/06/2026
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,CHF,49,922.33,25/06/2026
