Name,Share class,Exchange,Listing currency,Listing ticker,ISIN,SEDOL,Bloomberg,WKN,Index ticker,Share class launch date,Fund size,AuM date,AuM currency,Share class size,Share class size date,Share class size currency,TER,Number of constituents,Benchmark,Fund type,Asset class,Strategy,Asset class / Strategy,SFDR Classification,NAV,NAV date,NAV currency,Fact sheet (English),Fact sheet Date (English),Prospectus (English),Prospectus Date (English),KIID (English),KIID Date (English)
L&G Russell 2000 US Small Cap Quality UCITS ETF,USD Acc,London Stock Exchange,GBP,RTWP,IE00B3CNHJ55,B3DWS09,RTWP LN,A0Q8H2,R2QTEN,2008-09-25,211756206.55,2026-07-02,USD,211756206.55,2026-07-02,USD,0.30,-,Russell 2000 0.4 Quality Target Exposure Factor Net Tax Index,ETF,Equity,Style,Style equity,-,142.0834,2026-07-02,USD,https://fundcentres.landg.com/srp/documents-id/25bf27a7-b644-4881-b4d3-dab2fb0b693a/Fact-Sheet_LG-Russell-2000-US-Small-Cap-Quality-UCITS-ETF-Russell-2000-US-Small-Cap-Quality-USD-Acc.pdf,2026-05-31,https://fundcentres.landg.com/srp/lit/7qeQjP/Prospectus_Legal-General-UCITS-ETF-Plc_23-02-2022.pdf,2022-02-23,https://fundcentres.landg.com/srp/documents-id/2a659592-2d19-42fe-9a22-50d44acffe29/KIID_LG-Russell-2000-US-Small-Cap-Quality-UCITS-ETF-Russell-2000-US-Small-Cap-Quality-USD-Acc.pdf,2026-02-19
L&G Russell 2000 US Small Cap Quality UCITS ETF,USD Acc,London Stock Exchange,USD,RTWO,IE00B3CNHJ55,B3CJZ88,RTWO LN,A0Q8H2,R2QTEN,2008-09-25,211756206.55,2026-07-02,USD,211756206.55,2026-07-02,USD,0.30,-,Russell 2000 0.4 Quality Target Exposure Factor Net Tax Index,ETF,Equity,Style,Style equity,-,142.0834,2026-07-02,USD,https://fundcentres.landg.com/srp/documents-id/25bf27a7-b644-4881-b4d3-dab2fb0b693a/Fact-Sheet_LG-Russell-2000-US-Small-Cap-Quality-UCITS-ETF-Russell-2000-US-Small-Cap-Quality-USD-Acc.pdf,2026-05-31,https://fundcentres.landg.com/srp/lit/7qeQjP/Prospectus_Legal-General-UCITS-ETF-Plc_23-02-2022.pdf,2022-02-23,https://fundcentres.landg.com/srp/documents-id/2a659592-2d19-42fe-9a22-50d44acffe29/KIID_LG-Russell-2000-US-Small-Cap-Quality-UCITS-ETF-Russell-2000-US-Small-Cap-Quality-USD-Acc.pdf,2026-02-19
L&G Russell 2000 US Small Cap Quality UCITS ETF,USD Acc,Borsa Italiana,EUR,RTWO,IE00B3CNHJ55,B3L9W00,RTWO IM,A0Q8H2,R2QTEN,2008-09-25,211756206.55,2026-07-02,USD,211756206.55,2026-07-02,USD,0.30,-,Russell 2000 0.4 Quality Target Exposure Factor Net Tax Index,ETF,Equity,Style,Style equity,-,142.0834,2026-07-02,USD,https://fundcentres.landg.com/srp/documents-id/25bf27a7-b644-4881-b4d3-dab2fb0b693a/Fact-Sheet_LG-Russell-2000-US-Small-Cap-Quality-UCITS-ETF-Russell-2000-US-Small-Cap-Quality-USD-Acc.pdf,2026-05-31,https://fundcentres.landg.com/srp/lit/7qeQjP/Prospectus_Legal-General-UCITS-ETF-Plc_23-02-2022.pdf,2022-02-23,https://fundcentres.landg.com/srp/documents-id/2a659592-2d19-42fe-9a22-50d44acffe29/KIID_LG-Russell-2000-US-Small-Cap-Quality-UCITS-ETF-Russell-2000-US-Small-Cap-Quality-USD-Acc.pdf,2026-02-19
L&G Russell 2000 US Small Cap Quality UCITS ETF,USD Acc,Deutsche Börse Xetra,EUR,ETLZ,IE00B3CNHJ55,BVC3NS2,ETLZ GY,A0Q8H2,R2QTEN,2008-09-25,211756206.55,2026-07-02,USD,211756206.55,2026-07-02,USD,0.30,-,Russell 2000 0.4 Quality Target Exposure Factor Net Tax Index,ETF,Equity,Style,Style equity,-,142.0834,2026-07-02,USD,https://fundcentres.landg.com/srp/documents-id/25bf27a7-b644-4881-b4d3-dab2fb0b693a/Fact-Sheet_LG-Russell-2000-US-Small-Cap-Quality-UCITS-ETF-Russell-2000-US-Small-Cap-Quality-USD-Acc.pdf,2026-05-31,https://fundcentres.landg.com/srp/lit/7qeQjP/Prospectus_Legal-General-UCITS-ETF-Plc_23-02-2022.pdf,2022-02-23,https://fundcentres.landg.com/srp/documents-id/2a659592-2d19-42fe-9a22-50d44acffe29/KIID_LG-Russell-2000-US-Small-Cap-Quality-UCITS-ETF-Russell-2000-US-Small-Cap-Quality-USD-Acc.pdf,2026-02-19
L&G Russell 2000 US Small Cap Quality UCITS ETF,USD Acc,Euronext Amsterdam,EUR,RTWO,IE00B3CNHJ55,B3D3545,RTWO NA,A0Q8H2,R2QTEN,2008-09-25,211756206.55,2026-07-02,USD,211756206.55,2026-07-02,USD,0.30,-,Russell 2000 0.4 Quality Target Exposure Factor Net Tax Index,ETF,Equity,Style,Style equity,-,142.0834,2026-07-02,USD,https://fundcentres.landg.com/srp/documents-id/25bf27a7-b644-4881-b4d3-dab2fb0b693a/Fact-Sheet_LG-Russell-2000-US-Small-Cap-Quality-UCITS-ETF-Russell-2000-US-Small-Cap-Quality-USD-Acc.pdf,2026-05-31,https://fundcentres.landg.com/srp/lit/7qeQjP/Prospectus_Legal-General-UCITS-ETF-Plc_23-02-2022.pdf,2022-02-23,https://fundcentres.landg.com/srp/documents-id/2a659592-2d19-42fe-9a22-50d44acffe29/KIID_LG-Russell-2000-US-Small-Cap-Quality-UCITS-ETF-Russell-2000-US-Small-Cap-Quality-USD-Acc.pdf,2026-02-19
L&G Russell 2000 US Small Cap Quality UCITS ETF,USD Acc,SIX Swiss Exchange,USD,RTWO,IE00B3CNHJ55,BS3BM21,RTWO SW,A0Q8H2,R2QTEN,2008-09-25,211756206.55,2026-07-02,USD,211756206.55,2026-07-02,USD,0.30,-,Russell 2000 0.4 Quality Target Exposure Factor Net Tax Index,ETF,Equity,Style,Style equity,-,142.0834,2026-07-02,USD,https://fundcentres.landg.com/srp/documents-id/25bf27a7-b644-4881-b4d3-dab2fb0b693a/Fact-Sheet_LG-Russell-2000-US-Small-Cap-Quality-UCITS-ETF-Russell-2000-US-Small-Cap-Quality-USD-Acc.pdf,2026-05-31,https://fundcentres.landg.com/srp/lit/7qeQjP/Prospectus_Legal-General-UCITS-ETF-Plc_23-02-2022.pdf,2022-02-23,https://fundcentres.landg.com/srp/documents-id/2a659592-2d19-42fe-9a22-50d44acffe29/KIID_LG-Russell-2000-US-Small-Cap-Quality-UCITS-ETF-Russell-2000-US-Small-Cap-Quality-USD-Acc.pdf,2026-02-19
L&G Gold Mining UCITS ETF,USD Acc,London Stock Exchange,GBP,AUCP,IE00B3CNHG25,B3DWRM4,AUCP LN,A0Q8HZ,LGIMGMNR,2008-11-06,660404415.16,2026-07-02,USD,660404415.16,2026-07-02,USD,0.55,-,STOXX Global Gold Miners NR USD,ETF,Equity,Specialist markets,Specialist markets,Article 6,97.3515,2026-07-02,USD,https://fundcentres.landg.com/srp/documents-id/6b49c3f1-7e08-4796-a090-4621d326efa1/Fact-Sheet_LG-Gold-Mining-UCITS-ETF-Gold-Mining-USD-Acc.pdf,2026-05-31,https://fundcentres.landg.com/srp/lit/7qeQjP/Prospectus_Legal-General-UCITS-ETF-Plc_23-02-2022.pdf,2022-02-23,https://fundcentres.landg.com/srp/documents-id/a45e44fc-675c-4325-980c-cdb1b8b1bc99/KIID_LG-Gold-Mining-UCITS-ETF-Gold-Mining-USD-Acc.pdf,2026-02-19
L&G Gold Mining UCITS ETF,USD Acc,London Stock Exchange,USD,AUCO,IE00B3CNHG25,B3CJVD5,AUCO LN,A0Q8HZ,LGIMGMNR,2008-11-06,660404415.16,2026-07-02,USD,660404415.16,2026-07-02,USD,0.55,-,STOXX Global Gold Miners NR USD,ETF,Equity,Specialist markets,Specialist markets,Article 6,97.3515,2026-07-02,USD,https://fundcentres.landg.com/srp/documents-id/6b49c3f1-7e08-4796-a090-4621d326efa1/Fact-Sheet_LG-Gold-Mining-UCITS-ETF-Gold-Mining-USD-Acc.pdf,2026-05-31,https://fundcentres.landg.com/srp/lit/7qeQjP/Prospectus_Legal-General-UCITS-ETF-Plc_23-02-2022.pdf,2022-02-23,https://fundcentres.landg.com/srp/documents-id/a45e44fc-675c-4325-980c-cdb1b8b1bc99/KIID_LG-Gold-Mining-UCITS-ETF-Gold-Mining-USD-Acc.pdf,2026-02-19
L&G Gold Mining UCITS ETF,USD Acc,Borsa Italiana,EUR,AUCO,IE00B3CNHG25,B3L9VL4,AUCO IM,A0Q8HZ,LGIMGMNR,2008-11-06,660404415.16,2026-07-02,USD,660404415.16,2026-07-02,USD,0.55,-,STOXX Global Gold Miners NR USD,ETF,Equity,Specialist markets,Specialist markets,Article 6,97.3515,2026-07-02,USD,https://fundcentres.landg.com/srp/documents-id/6b49c3f1-7e08-4796-a090-4621d326efa1/Fact-Sheet_LG-Gold-Mining-UCITS-ETF-Gold-Mining-USD-Acc.pdf,2026-05-31,https://fundcentres.landg.com/srp/lit/7qeQjP/Prospectus_Legal-General-UCITS-ETF-Plc_23-02-2022.pdf,2022-02-23,https://fundcentres.landg.com/srp/documents-id/a45e44fc-675c-4325-980c-cdb1b8b1bc99/KIID_LG-Gold-Mining-UCITS-ETF-Gold-Mining-USD-Acc.pdf,2026-02-19
L&G Gold Mining UCITS ETF,USD Acc,Deutsche Börse Xetra,EUR,ETLX,IE00B3CNHG25,BVC3NR1,ETLX GY,A0Q8HZ,LGIMGMNR,2008-11-06,660404415.16,2026-07-02,USD,660404415.16,2026-07-02,USD,0.55,-,STOXX Global Gold Miners NR USD,ETF,Equity,Specialist markets,Specialist markets,Article 6,97.3515,2026-07-02,USD,https://fundcentres.landg.com/srp/documents-id/6b49c3f1-7e08-4796-a090-4621d326efa1/Fact-Sheet_LG-Gold-Mining-UCITS-ETF-Gold-Mining-USD-Acc.pdf,2026-05-31,https://fundcentres.landg.com/srp/lit/7qeQjP/Prospectus_Legal-General-UCITS-ETF-Plc_23-02-2022.pdf,2022-02-23,https://fundcentres.landg.com/srp/documents-id/a45e44fc-675c-4325-980c-cdb1b8b1bc99/KIID_LG-Gold-Mining-UCITS-ETF-Gold-Mining-USD-Acc.pdf,2026-02-19
