ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
VanEck Circular Economy UCITS ETF,VanEck,IE0001J5A2T9,USD,40.00,17.20,USD,05/07/2026
VanEck Crypto and Blockchain Innovators UCITS ETF,VanEck,IE00BMDKNW35,USD,65.00,536.30,USD,05/07/2026
VanEck Defense UCITS ETF,VanEck,IE000YYE6WK5,USD,55.00,7500.00,USD,05/07/2026
VanEck Electrification and Power Infrastructure UCITS ETF,VanEck,IE000YYVSM16,USD,55.00,25.60,USD,05/07/2026
VanEck Emerging Markets High Yield Bond UCITS ETF,VanEck,IE00BF541080,USD,40.00,61.70,USD,05/07/2026
VanEck European Equal Weight Screened UCITS ETF,VanEck,NL0010731816,EUR,40.00,89.60,EUR,05/07/2026
VanEck Genomics and Healthcare Innovators UCITS ETF,VanEck,IE000B9PQW54,USD,35.00,12.20,USD,05/07/2026
VanEck Global Fallen Angel High Yield Bond UCITS ETF,VanEck,IE00BF540Z61,USD,40.00,56.70,USD,05/07/2026
VanEck Global Real Estate UCITS ETF,VanEck,NL0009690239,EUR,25.00,418.40,EUR,05/07/2026
VanEck Gold Miners UCITS ETF,VanEck,IE00BQQP9F84,USD,53.00,3100.00,USD,05/07/2026
VanEck Hydrogen Economy UCITS ETF,VanEck,IE00BMDH1538,USD,55.00,135.10,USD,05/07/2026
VanEck iBoxx EUR Corporates UCITS ETF,VanEck,NL0009690247,EUR,15.00,37.40,EUR,05/07/2026
VanEck iBoxx EUR Sovereign Capped AAA-AA 1-5 UCITS ETF,VanEck,NL0010273801,EUR,15.00,50.90,EUR,05/07/2026
VanEck iBoxx EUR Sovereign Diversified 1-10 UCITS ETF,VanEck,NL0009690254,EUR,15.00,30.00,EUR,05/07/2026
VanEck J.P. Morgan EM Local Currency Bond UCITS ETF,VanEck,IE00BDS67326,USD,30.00,255.00,USD,05/07/2026
VanEck Junior Gold Miners UCITS ETF,VanEck,IE00BQQP9G91,USD,55.00,1100.00,USD,05/07/2026
VanEck Medical Robotics and Bionic Engineering UCITS ETF,VanEck,IE0005TF96I9,USD,55.00,11.70,USD,05/07/2026
VanEck Morningstar Developed Markets Dividend Leaders UCITS ETF,VanEck,NL0011683594,EUR,38.00,8300.00,EUR,05/07/2026
VanEck Morningstar Developed Markets ex-US Dividend Leaders UCITS ETF,VanEck,IE000QYDXKV5,USD,38.00,11.10,USD,05/07/2026
VanEck Morningstar Global Wide Moat UCITS ETF,VanEck,IE00BL0BMZ89,USD,52.00,171.60,USD,05/07/2026
VanEck Morningstar US ESG Wide Moat UCITS ETF,VanEck,IE00BQQP9H09,USD,49.00,365.80,USD,05/07/2026
VanEck Morningstar US SMID Moat UCITS ETF,VanEck,IE000SBU19F7,USD,49.00,13.00,USD,05/07/2026
VanEck Morningstar US Wide Moat UCITS ETF,VanEck,IE0007I99HX7,USD,46.00,38.70,USD,05/07/2026
VanEck Multi-Asset Balanced Allocation UCITS ETF,VanEck,NL0009272772,EUR,30.00,40.80,EUR,05/07/2026
VanEck Multi-Asset Conservative Allocation UCITS ETF,VanEck,NL0009272764,EUR,28.00,21.10,EUR,05/07/2026
VanEck Multi-Asset Growth Allocation UCITS ETF,VanEck,NL0009272780,EUR,32.00,34.20,EUR,05/07/2026
VanEck New China UCITS ETF,VanEck,IE0000H445G8,USD,60.00,7.50,USD,05/07/2026
VanEck Oil Services UCITS ETF,VanEck,IE000NXF88S1,USD,35.00,268.10,USD,05/07/2026
VanEck Quantum Computing UCITS ETF,VanEck,IE0007Y8Y157,USD,55.00,842.30,USD,05/07/2026
VanEck Rare Earth and Strategic Metals UCITS ETF,VanEck,IE0002PG6CA6,USD,59.00,1400.00,USD,05/07/2026
VanEck S&P Global Mining UCITS ETF,VanEck,IE00BDFBTQ78,USD,50.00,1900.00,USD,05/07/2026
VanEck Semiconductor UCITS ETF,VanEck,IE00BMC38736,USD,35.00,8800.00,USD,05/07/2026
VanEck Space Innovators UCITS ETF,VanEck,IE000YU9K6K2,USD,55.00,2200.00,USD,05/07/2026
VanEck Sustainable Future of Food UCITS ETF,VanEck,IE0005B8WVT6,USD,45.00,14.70,USD,05/07/2026
VanEck Uranium and Nuclear Technologies UCITS ETF,VanEck,IE000M7V94E1,USD,55.00,2300.00,USD,05/07/2026
VanEck US Fallen Angel High Yield Bond UCITS ETF,VanEck,IE000J6CHW80,USD,35.00,67.40,USD,05/07/2026
VanEck Video Gaming and eSports UCITS ETF,VanEck,IE00BYWQWR46,USD,55.00,585.10,USD,05/07/2026
VanEck World Equal Weight Screened UCITS ETF,VanEck,NL0010408704,EUR,20.00,1400.00,EUR,05/07/2026
