Workbook Provider,ISIN,DistinctISINCount,Status,Latest Provider Hits,Repo File Hit Count,Repo File Samples
abrdn,IE000G9O8QD4,3,present_in_latest,abrdn,4,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\abrdn\2026-07-01\abrdn_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\abrdn\2026-07-02\abrdn_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\abrdn\2026-07-03\abrdn_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\abrdn\2026-07-05\abrdn_selected_fields.csv
abrdn,IE000GGQK173,3,present_in_latest,abrdn,4,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\abrdn\2026-07-01\abrdn_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\abrdn\2026-07-02\abrdn_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\abrdn\2026-07-03\abrdn_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\abrdn\2026-07-05\abrdn_selected_fields.csv
abrdn,IE000J7QYHD8,3,present_in_latest,abrdn,4,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\abrdn\2026-07-01\abrdn_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\abrdn\2026-07-02\abrdn_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\abrdn\2026-07-03\abrdn_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\abrdn\2026-07-05\abrdn_selected_fields.csv
Alliance Bernstein,LU3322521785,3,present_in_latest,Alliance_Bernstein,4,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\Alliance_Bernstein\2026-07-01\alliance_bernstein_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\Alliance_Bernstein\2026-07-02\alliance_bernstein_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\Alliance_Bernstein\2026-07-03\alliance_bernstein_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\Alliance_Bernstein\2026-07-05\alliance_bernstein_selected_fields.csv
Alliance Bernstein,LU3322522080,3,present_in_latest,Alliance_Bernstein,4,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\Alliance_Bernstein\2026-07-01\alliance_bernstein_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\Alliance_Bernstein\2026-07-02\alliance_bernstein_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\Alliance_Bernstein\2026-07-03\alliance_bernstein_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\Alliance_Bernstein\2026-07-05\alliance_bernstein_selected_fields.csv
Alliance Bernstein,LU3322522593,3,present_in_latest,Alliance_Bernstein,4,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\Alliance_Bernstein\2026-07-01\alliance_bernstein_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\Alliance_Bernstein\2026-07-02\alliance_bernstein_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\Alliance_Bernstein\2026-07-03\alliance_bernstein_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\Alliance_Bernstein\2026-07-05\alliance_bernstein_selected_fields.csv
Alpha Ucits,LU2785470191,2,present_in_latest,Alpha_Ucits,4,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\Alpha_Ucits\2026-07-02\alpha_ucits_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\Alpha_Ucits\2026-07-02\alpha_ucits_selected_fields_latest.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\Alpha_Ucits\2026-07-03\alpha_ucits_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\Alpha_Ucits\2026-07-05\alpha_ucits_selected_fields.csv
Alpha Ucits,LU2825557270,2,present_in_latest,Alpha_Ucits,4,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\Alpha_Ucits\2026-07-02\alpha_ucits_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\Alpha_Ucits\2026-07-02\alpha_ucits_selected_fields_latest.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\Alpha_Ucits\2026-07-03\alpha_ucits_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\Alpha_Ucits\2026-07-05\alpha_ucits_selected_fields.csv
American Century Investments,IE0003R87OG3,6,present_in_latest,American_Century_Investments,4,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-06-30\american_century_investments_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-07-01\american_century_investments_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-07-02\american_century_investments_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-07-03\american_century_investments_selected_fields.csv
American Century Investments,IE000K975W13,6,present_in_latest,American_Century_Investments,4,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-06-30\american_century_investments_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-07-01\american_century_investments_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-07-02\american_century_investments_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-07-03\american_century_investments_selected_fields.csv
